 date,TRACKING,UPC,ITEM,QTY,单价,,fee,,
11/7,420197019361289681090294953037,673419267717,lego 75184,2,,,,,
,420197019361289681090295018599,673419267717,lego 75184,2,,,,,
,420197019361289681090295030881,673419267717,lego 75184,2,,,,,
,420197019361289681090295229827,673419280976,lego 21312,2,,,,,
,420197019361289681090294994023,673419267717,lego 75184,1,,,,,
,420197019361289681090294925157,673419267717,lego 75184,2,,,,,
,420197019361289681090295233688,673419280976,lego 21312,2,,,,,
,1ZY8R015YW25145759,45496903749,super mario brio,3,,,,,
,1ZY8F874YW28241490,45496903749,super mario brio,3,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZY8F675YN25141086,45496742485,3ds pokemon dics,1,,,,,
,1Z3004R8YW28266351,45496903749,super mario brio,3,,,,,
,1Z9728X1YN29881234,45496742485,3ds pokemon dics,1,,,,,
,1Z300VW30324905887,814855023271,lancehead mouse,1,,,,,
,1ZY8F749YW25104184,45496903749,super mario brio,3,,,,,
,1Z973F40YN29832844,45496903756,super mario maker,1,,,,,
,1Z973F40YN29788054,45496742485,3ds pokemon dics,2,,,,,
,1Z9728WWYN19136581,45496903749,super mario brio,2,,,,,
,1Z30043XYN28252053,45496742485,3ds pokemon dics,1,,,,,
,,45496904227,wiiu pokken,1,,,,,
,1Z97015VYN28712983,45496742485,3ds pokemon dics,2,,,,,
,1Z9728X1YN29894864,45496903749,super mario brio,1,,,,,
,1Z973F45YN29775728,45496903749,super mario brio,1,,,,,
,1Z9728R8YN29662124,45496903749,super mario brio,1,,,,,
,1Z97016VYN28356135,45496742485,3ds pokemon dics,3,,,,,
,1Z973FY10330365889,45496742485,3ds pokemon dics,2,,,,,
,1Z3004V4YN28481656,45496742485,3ds pokemon dics,2,,,,,
,1ZY8F759YN25176961,45496903749,super mario brio,2,,,,,
,1Z3Y57Y0YW28441363,,nitendo swith blue red,2,,,,,
,1Z3Y5729YN28450204,45496742485,3ds pokemon dics,2,,,,,
,1Z30042X0328045966,814855023271,lancehead mouse,1,,,,,
,1Z3Y5729YN28450348,45496742485,3ds pokemon dics,2,,,,,
