,TRACKING,UPC,ITEM,QTY,单价,,fee,,,
12/1,1ZV7855EYW42295387,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZF6786X0310099713,,philip sonicare,3,,7.5,,,,
,1ZV7855EYW42289287,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZY4V2960322271081,,lego 21309,1,,0.5,,,,
,1ZV7855E1342531896,,ps4 pro 1tb,1,,6,,,,
,,,ps4 destinry  dics,1,,0.5,,,,
,1ZV7855E1342510640,,ps4 pro 1tb,1,,6,,,,
,,,ps4 destinry  dics,1,,0.5,,,,
,1ZR166470310109444,,ps4 pro 1tb,1,,6,,,,
,,,ps4 destinry  dics,1,,0.5,,,,
,1ZV7855EYW42298302,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZV7855EYW42292568,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZV7855E1342511176,,ps4 destinry  dics,1,,0.5,,,,
,,,ps4 pro 1tb,1,,6,,,,
,1ZV7855EYW42296368,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZV7855EYW42296573,884116275657,dell i3567-3657blk,1,,6,,,,
,1Z306FW70307504920,889899867884,hp 14-am052nr,1,,4,,,,
,1ZY4V3860303099053,,lego 21309,1,,0.5,,,,
,1ZA0F6504204295012,,swith fifa18,2,,1,,,,
,,,ps4 fifia18,8,,4,,,,
,,,xbxone fifa18,8,,4,,,,
,,,ps4 madden,8,,4,,,,
,,,xboxoen madden,8,,4,,,,
,,,xboxone over watch,8,,4,,,,
,,,ps4 over watch,8,,4,,,,
,,,swith mario rabbis,2,,1,,,,
,1ZA0F6504203916558,,ps4 fifia18,8,,4,,,,
,,,ps4 madden,4,,2,,,,
,1ZV7855EYW42298419,884116275657,dell i3567-3657blk,1,,6,,,,
,1Z4E09430344888631,,harmony,3,,5,,,,
,,,ps4 the last of us,3,,0.75,,,,
,,,ps4 1tb,1,,3,,,,
,1ZY10F060319829617,amazon new,xbxone 1tb blk,1,,,,,,
,1ZV7855EYW42293325,884116275657,dell i3567-3657blk,1,,6,,,,
,1Z86V8030389267735,884116275664,dell i3567-5664blk,1,,6,,,,
,1ZV7855EYW42297321,884116275657,dell i3567-3657blk,1,,6,,,,
,1ZV7855EYW42333095,884116275657,dell i3567-3657blk,1,,6,,,,
