 date,TRACKING,UPC,ITEM,QTY,单价,,fee,,,
8/1,1ZA1690V0345428966,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582090,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431596,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387586112,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345428984,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345428760,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432620,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427734,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582616,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582607,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431907,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582554,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582125,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432871,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582107,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582134,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582143,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432844,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432611,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432899,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432924,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431989,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427770,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431952,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432853,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429572,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429732,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431587,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427494,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427421,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427485,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427501,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429625,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429741,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431578,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427789,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427412,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432586,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432684,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432880,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345428699,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432915,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345430551,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432719,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429581,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432184,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345431943,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345429750,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432120,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427510,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432737,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432862,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387582625,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432166,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432906,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387586014,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387586023,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387586256,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345428466,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345428993,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427430,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432095,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345427403,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432157,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1Z4785W00387586345,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345432577,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,,,,66,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,1ZR340V30310069684,889349488454,asus q524u,1,,8,,,,
,1ZW490241351487348,889349488454,asus q524u,1,,8,,,,
,1001901764240001970100746115451395,889349488454,asus q524u,1,,8,,,,
,1001901764240001970100746115451730,889349488454,asus q524u,1,,8,,,,
,1001901764240001970100746115451167,889349488454,asus q524u,1,,8,,,,
,1ZR315380310078677,889349488454,asus q524u,1,,8,,,,
,1001901764240001970100746115450664,889349488454,asus q524u,1,,8,,,,
,1001901764240001970100746115451498,889349488454,asus q524u,1,,8,,,,
,1Z2929AE0320534441,amazon open,hp 27es,1,,,,,,
,6821226964709,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,6821226964761,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,6821226964785,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,6821226964839,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
8/2,1Z9AR5890350181254,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181263,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181316,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181245,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181281,12502639411,ptd600,2,,2.5,,,,
,1ZA005F80358189486,12502639411,ptd600,1,,1.25,,,,
,1Z9AR5890350181343,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181361,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181370,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181389,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181352,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350193465,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181272,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350193483,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350193590,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350193358,12502639411,ptd600,2,,2.5,,,,
,1z9ar5890350181334,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350181325,12502639411,ptd600,2,,2.5,,,,
,1Z9AR5890350193581,12502639411,ptd600,2,,2.5,,,,
,,,,,,,,,,
,,,,,,,,,,
,1ZV7855E0336074358,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336068972,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336073297,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZA1690V0345501671,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZV7855E0336070414,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZW493040341430889,889349488454,asus q524u,1,,8,,,,
,1ZV7855E0336073028,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336074689,884116256571,dell i7378-7571gry,1,,8,,,,
,1ZV7855E0336068007,884116256571,dell i7378-7571gry,1,,8,,,,
,1ZV7855E0336066063,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336083231,884116256571,dell i7378-7571gry,1,,8,,,,
,1ZV7855E0336067679,884116256571,dell i7378-7571gry,1,,8,,,,
,1ZV7855E0336071502,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336076187,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336070370,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZW493040341431548,889349488454,asus q524u,1,,8,,,,
,1Z2929AE0320541022,amazon open,aspire r5-571t-57z0,1,好了,,20,,,
8/3,1Z0AE6170357128149,12502639411,ptd600,2,,2.5,,,,
,1ZA1690V0345589882,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZV7855E0336101005,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZV7855E0336111898,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZR32R070310088831,884116256571,dell i7378-7571gry,1,,8,,,,
,1ZV7855E0336101087,884116256595,dell i7579-7595gry,1,,8,,,,
,1ZA1690V0345589891,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZV7855E0336099224,884116256595,dell i7579-7595gry,1,,8,,,,
,1Z0AE6170357128194,12502639411,ptd600,2,,2.5,,,,
,1Z3Y09F10311030049,amazon new,hp 17 ak013dx,2,,,,,,
,1Z787Y880383390361,amzon open,xboxone 2tb grea war,1,,,,,,
,,,hp 17-116dx,1,,,,,,
,1Z787Y880383373193,amazon open,hp 360 m1-u001dx,1,好了,,20,,,
8/4,1ZA1690V0345645918,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345645801,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345645678,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA1690V0345645669,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,,,,,,,,,,
8/7,1ZA491F50351725647,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351725638,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351725585,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351725610,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351725629,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZEA54610385380284,amazon open,lenovo thinkpad 11e 3rd gen,1,好了,,20,,,
,1Z787Y884283415332,amazon open,dell xps9560-5000slv-pus,1,不用修,,,,,
8/8,1ZR13884YW10186417,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZR13394YW10147959,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZR13884YW10186382,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZA491F50351739356,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351739445,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351739392,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351739507,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZA491F50351739310,191376660810,lenovo ideapad 110-151sk,1,,5,,,,
,1ZF339630310114180,889842118858,xboxone 500gb battlefield,1,,5,,,,
,1ZR3047AYW10104971,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZR138840310186424,889842118858,xboxone 500gb battlefield,1,,5,,,,
,1ZR138840310186406,889842118858,xboxone 500gb battlefield,1,,5,,,,
,1zf4f3390310128609,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZF204090310099410,889842118858,xboxone 500gb battlefield,1,,5,,,,
,1ZF20409YW10099430,884116274629,dell i3567-3629blk pus,1,,7.5,,,,
,1ZF4F3390310128574,889842118858,xboxone 500gb battlefield,1,,5,,,,
